divisao_cnae;divisao_descricao;quantidade;tipo_empresa;percentual_no_tipo
11;FABRICAÇÃO DE BEBIDAS;7;ME (Microempresa);0.03
08;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;6;ME (Microempresa);0.02
27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;6;ME (Microempresa);0.02
91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;5;ME (Microempresa);0.02
30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;5;ME (Microempresa);0.02
24;METALURGIA;4;ME (Microempresa);0.02
37;ESGOTO E ATIVIDADES RELACIONADAS;4;ME (Microempresa);0.02
26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;3;ME (Microempresa);0.01
65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;3;ME (Microempresa);0.01
88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO;2;ME (Microempresa);0.01
21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;2;ME (Microempresa);0.01
50;TRANSPORTE AQUAVIÁRIO;1;ME (Microempresa);0.0
92;ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS;1;ME (Microempresa);0.0
47;COMÉRCIO VAREJISTA;2590;MEI (inativo no CNPJ);16.83
43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;1969;MEI (inativo no CNPJ);12.79
56;ALIMENTAÇÃO;1887;MEI (inativo no CNPJ);12.26
96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;1565;MEI (inativo no CNPJ);10.17
85;EDUCAÇÃO;1054;MEI (inativo no CNPJ);6.85
82;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS;732;MEI (inativo no CNPJ);4.76
73;PUBLICIDADE E PESQUISA DE MERCADO;685;MEI (inativo no CNPJ);4.45
45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;615;MEI (inativo no CNPJ);4.0
97;SERVIÇOS DOMÉSTICOS;516;MEI (inativo no CNPJ);3.35
49;TRANSPORTE TERRESTRE;452;MEI (inativo no CNPJ);2.94
53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;346;MEI (inativo no CNPJ);2.25
87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;324;MEI (inativo no CNPJ);2.1
95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;276;MEI (inativo no CNPJ);1.79
81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;226;MEI (inativo no CNPJ);1.47
10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;182;MEI (inativo no CNPJ);1.18
14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;177;MEI (inativo no CNPJ);1.15
